Age,Gender,Income,Credit Score,Loan Amount,Years at Current Job,Debt-to-Income Ratio,Assets Value,Number of Dependents,Risk Rating
32,Male,114003,,7987,6,0.384808616,277283,4,Low
48,Non-binary,42925,726,,2,0.223028416,112969,2,Low
63,Non-binary,106491,707,43071,4,0.378870692,143049,1,Low
35,Non-binary,63773,723,15267,0,0.317037749,183098,1,Low
19,Female,27835,733,,2,0.334568488,210193,3,Low
69,Female,48704,680,6142,11,0.364262496,172222,,Low
54,Female,32402,674,40455,5,0.185699136,270182,2,Medium
35,Non-binary,22458,723,14551,1,0.134653323,160511,2,Low
45,Female,72462,765,46320,17,0.424428269,282973,0,Low
34,Male,35512,666,16015,6,0.209109834,299597,3,Medium
21,Female,88917,669,18699,16,0.315982612,200676,3,Medium
45,Female,46883,717,16498,1,0.415466174,54690,,Low
43,Non-binary,70908,673,,5,0.115069389,,,Medium
69,Male,115017,754,21294,7,0.490474114,296733,0,Low
51,Female,,714,9462,1,0.568260408,126529,2,Medium
20,Male,42354,,18510,18,0.425106372,,4,Low
20,Male,68171,670,,3,0.155506734,75883,2,Low
66,Male,33012,697,28610,1,0.434015624,20842,,Low
68,Non-binary,103453,789,24766,6,0.451821101,97168,,Low
40,Non-binary,,604,21003,15,0.41723174,136837,0,Medium
46,Male,118351,701,22112,12,0.230542713,68483,4,Low
32,Non-binary,23352,694,46893,12,0.494412544,73579,4,Medium
26,Male,89634,624,26398,8,0.109518261,272809,3,Low
65,Female,45381,643,13860,5,0.353925554,111050,4,Low
50,Male,48896,,41255,4,0.245893055,176482,,Low
60,Female,101551,770,14319,10,0.530275589,,1,Low
69,Female,44425,686,34801,2,0.366593567,98959,,Medium
33,Male,112116,609,30674,1,0.195260352,,,Low
61,Male,96325,738,,7,0.561274447,24262,1,Low
30,Female,113332,,17904,6,0.330237144,276479,3,Low
52,Female,37801,716,,17,0.131943733,34540,,Medium
65,Male,119011,773,,14,0.370922495,100967,2,High
66,Female,62889,756,38447,19,0.497303821,,3,Low
69,Female,73821,675,39326,10,0.46318919,125141,2,Medium
35,Non-binary,51174,737,38405,12,0.580145747,267330,3,High
68,Female,95446,655,27381,5,0.299061111,168007,1,Low
56,Male,29428,728,,1,0.45396123,176521,,Low
49,Female,42159,,11345,6,0.131965621,282354,3,Medium
29,Female,93937,705,,14,0.479594844,50998,3,Low
36,Female,84558,622,21918,8,0.228670819,132884,1,Low
30,Female,62981,704,30209,5,0.469413112,196412,3,Medium
56,Non-binary,23531,,,5,0.259521259,140302,,Low
21,Male,86481,701,,2,0.58382006,224877,1,Medium
68,Female,74921,748,44248,8,0.446157112,121144,0,Low
65,Non-binary,43202,714,5233,0,0.41231807,46124,2,Low
44,Female,104117,675,15050,2,0.499298824,,3,Low
49,Male,100591,,33477,7,0.315598126,175170,4,Low
37,Female,43459,799,14154,4,0.519257507,158067,,Medium
42,Male,103692,655,,13,0.410105266,,0,Low
65,Male,82126,,,8,0.460585212,193728,0,Low
40,Female,106724,623,37855,19,0.411165526,105548,1,Low
34,Female,100291,,10595,0,0.580866505,244521,1,Low
41,Male,62443,629,,16,0.169080496,273610,,Low
43,Female,27711,748,41441,0,0.165132609,37226,1,Low
39,Female,,744,16163,11,0.468650298,250111,2,Low
50,Non-binary,28262,755,36543,9,0.250324547,261596,2,Low
46,Non-binary,61521,682,24449,11,0.124890778,213281,4,Low
34,Male,33510,633,34992,5,0.301594762,,2,Low
30,Non-binary,,739,37474,10,0.463140134,44065,3,Low
29,Female,,738,49410,14,0.363452843,188847,,High
61,Female,21617,636,34140,18,0.188425401,216344,1,Low
35,Female,24260,689,,5,0.194734575,54844,4,Low
47,Non-binary,36689,743,10269,7,0.248614639,127982,2,Low
23,Female,100630,692,14201,9,0.581112482,190041,,Low
27,Non-binary,60868,734,35842,13,0.505357444,247389,0,Low
22,Non-binary,,735,9113,12,0.1535164,73020,1,Low
57,Non-binary,111467,755,33082,4,0.145281663,237561,2,Low
46,Female,,771,27539,13,0.510843514,48136,1,Low
68,Female,55169,760,37453,10,0.247753555,,3,Medium
32,Male,78151,681,41609,1,0.322039859,,2,High
57,Non-binary,114022,691,31953,18,0.51841798,108579,2,Medium
69,Non-binary,31517,,40413,6,0.260072324,166162,0,Low
49,Female,,779,,19,0.226502603,,,Low
59,Female,91642,742,22218,8,0.231851843,219751,,Low
50,Female,39547,779,29132,4,0.361713718,144972,4,Low
49,Non-binary,77320,,18201,11,0.45593701,257069,0,Low
49,Non-binary,61348,,17415,5,0.331016922,103191,2,Medium
45,Female,50339,640,22366,11,0.147955482,234501,4,Medium
47,Non-binary,108636,767,19418,7,0.281705854,162558,2,Low
33,Male,84038,,25645,7,0.116002691,240562,4,Medium
25,Male,81265,615,,11,0.131981651,39235,1,Medium
40,Male,117556,637,38345,15,0.117283181,262617,3,Low
59,Female,94874,694,5656,3,0.389504362,157035,0,Low
45,Female,117520,636,47405,1,0.207057945,168813,2,Low
19,Female,81292,717,20747,18,0.290166442,289919,,Low
54,Male,32943,,44199,1,0.361164919,,0,Low
48,Non-binary,88285,669,40252,12,0.145934636,278719,4,Low
44,Male,56282,680,46392,17,0.184393864,94527,4,Medium
40,Non-binary,35389,683,47018,2,0.122570189,135857,1,Low
63,Female,54510,639,45442,19,0.266007475,80302,2,Low
35,Non-binary,111626,637,,4,0.36486674,27252,2,Low
52,Non-binary,35819,768,22031,19,0.480727666,244986,4,Low
18,Non-binary,61644,722,,6,0.326781254,132122,,Medium
41,Female,84600,700,13890,1,0.34762856,88210,,Low
62,Female,63202,742,43514,8,0.573598851,173524,4,Low
61,Non-binary,22669,795,10236,0,0.366254123,,1,Low
69,Male,118906,651,11788,11,0.365897691,222253,0,Medium
40,Male,106411,643,,3,0.20088231,163296,3,Medium
26,Male,,636,47026,19,0.481512073,62193,0,Medium
58,Male,44992,602,6377,12,0.210513388,134748,2,Low
22,Non-binary,38413,710,,15,0.438459426,258953,,Low
68,Male,80062,757,19873,11,0.166229569,244674,4,Low
33,Male,30913,,11462,19,0.222045274,194214,2,Low
20,Female,28922,,13031,13,0.552120894,46839,0,Medium
59,Male,119142,781,,4,0.266576873,60789,0,Low
56,Male,65511,756,36853,5,0.554361414,139516,2,Low
57,Female,103557,651,45236,13,0.40544188,210178,3,Low
41,Male,36120,717,7603,1,0.349087503,118470,3,Low
29,Non-binary,105488,,16994,17,0.419120545,228662,3,Low
66,Male,,711,41484,14,0.198124992,,4,Low
47,Male,118770,791,30429,10,0.304327642,117670,,Medium
45,Male,80503,707,46280,8,0.499819389,80930,4,High
48,Female,89909,,11080,12,0.147779972,92513,2,Low
40,Female,20975,689,38601,9,0.392382315,61744,4,Medium
19,Female,55800,616,30423,9,0.135840754,237363,1,Low
63,Non-binary,,761,,2,0.264466644,168159,2,Low
44,Non-binary,38223,637,24330,11,0.596691994,30736,4,Medium
58,Non-binary,,600,15069,11,0.586506376,231308,,Low
29,Male,107719,624,16041,3,0.173782728,167342,,High
64,Female,117069,618,39562,0,0.133800701,29487,3,Low
67,Non-binary,72494,626,30745,3,0.536131707,116879,4,Low
61,Male,88783,680,18999,14,0.540304613,,4,Low
37,Non-binary,119251,687,15104,10,0.125587408,164633,4,Low
20,Female,87986,612,32980,15,0.280258947,36442,3,Medium
54,Female,70278,711,30712,14,0.268901268,282689,3,Low
25,Female,34482,754,49079,7,0.367318377,32526,3,High
69,Male,57555,,43848,8,0.593150088,284821,1,Low
68,Female,,723,31006,10,0.21467333,146123,4,Low
32,Non-binary,28916,707,35641,15,0.332504663,125751,0,Low
46,Non-binary,,,23445,10,0.462276809,159054,4,Low
21,Non-binary,62485,,,3,0.577266865,72273,3,Low
27,Non-binary,104814,673,21304,19,0.283459661,47126,,Low
18,Non-binary,101443,785,,7,0.171109827,226373,4,Low
22,Female,117977,658,27607,3,0.53496788,191282,1,Medium
52,Male,,635,9123,16,0.354065297,192859,4,Low
31,Female,68266,627,11452,18,0.482653775,,0,Medium
47,Female,115424,,,19,0.406997568,89656,4,Low
34,Female,39423,759,40517,4,0.472039053,177051,3,Low
45,Non-binary,48288,,49732,2,0.125066333,49504,0,Low
47,Non-binary,73149,785,19125,19,0.239572205,168064,0,Medium
19,Non-binary,118111,687,12630,3,0.279209174,159829,3,High
38,Male,114048,743,45727,3,0.14186723,256465,3,Low
30,Male,82146,628,17399,6,0.298126878,233137,4,Medium
63,Male,,,35481,18,0.274461427,186946,,Low
42,Female,67930,608,30877,4,0.232307466,,2,Low
51,Male,27758,615,37229,11,0.466859607,,,Low
35,Male,,633,33661,15,0.243810046,,,Medium
48,Male,31036,653,,18,0.192236794,161068,,High
54,Male,56807,795,10082,3,0.158427728,98154,,Low
65,Female,,687,45726,11,0.29858924,32119,0,Low
41,Non-binary,33416,,42551,8,0.312377134,60932,2,High
54,Male,50847,725,15390,16,0.456479968,,3,Low
29,Female,,,44162,6,0.397236739,107392,1,High
36,Male,99973,701,12242,14,0.513146259,177224,0,Medium
20,Non-binary,30270,645,,19,0.188098126,,4,Medium
66,Male,,,,2,0.11286638,165398,2,Medium
46,Female,36786,652,30890,17,0.267555096,220829,4,Low
21,Male,92597,673,23701,18,0.10254839,30385,,Low
47,Male,118039,622,34797,5,0.557932946,32326,4,Low
67,Female,52261,614,44857,16,0.173986808,239420,2,Medium
39,Non-binary,62407,,47001,12,0.112272271,126507,3,Low
64,Male,71798,,7650,7,0.447720084,277488,3,Low
67,Non-binary,43216,638,,6,0.230878879,169104,4,Low
38,Male,67367,651,5850,3,0.579280614,289472,3,Medium
39,Non-binary,21929,774,29107,17,0.357497401,72603,1,Medium
39,Non-binary,49292,,44683,11,0.128738142,134491,2,Medium
40,Male,27084,750,5357,4,0.311581047,109976,2,Low
55,Male,67801,653,,11,0.31457426,249807,3,Low
48,Non-binary,109012,610,,17,0.147654198,116651,,Low
48,Non-binary,106624,785,12703,10,0.160213389,233430,1,Medium
61,Non-binary,,771,35595,16,0.325213002,,2,Medium
41,Non-binary,66861,786,37893,9,0.105401466,285876,2,Low
57,Male,65311,602,11262,9,0.51833416,134811,2,High
69,Non-binary,35615,663,37294,0,0.364811551,285105,0,Medium
37,Female,104859,752,30437,7,0.271788815,193124,,Low
50,Female,29017,,5566,18,0.30733177,132754,,Medium
64,Non-binary,47868,656,40105,18,0.276976555,25531,2,Low
55,Female,29664,654,22243,9,0.416717756,,4,Low
41,Male,88897,,44128,9,0.433034396,104805,0,Medium
51,Non-binary,38460,708,,3,0.109868585,82072,0,Low
31,Non-binary,82077,751,28266,12,0.325742614,268998,0,Low
57,Male,77153,681,5787,9,0.36978693,84569,4,Low
30,Non-binary,76068,729,43772,19,0.283768749,63678,2,High
62,Non-binary,63638,755,,0,0.185003509,132038,3,Medium
38,Female,30633,,21502,7,0.324769228,23517,1,Medium
54,Male,85667,623,40929,4,0.479266878,39743,4,Low
59,Female,23573,653,17090,16,0.255988492,48821,0,High
55,Non-binary,119851,761,,13,0.573704658,72958,2,Low
31,Female,95204,686,8264,1,0.343892591,110768,4,Medium
31,Female,64112,728,25822,3,0.579933803,239559,2,Low
31,Male,36944,,,5,0.308256067,20825,3,Low
63,Female,82703,668,48499,9,0.189295695,143543,,Medium
56,Non-binary,36184,779,27444,1,0.53305486,206862,0,Medium
33,Male,42873,,20327,3,0.33721177,111970,1,Low
59,Male,23376,639,13933,16,0.493045918,178206,0,Low
23,Male,92868,726,21915,16,0.350018888,284315,,Medium
27,Non-binary,51090,628,,2,0.11832173,263448,2,Medium
58,Non-binary,68504,694,8884,16,0.408692141,169295,,Medium
35,Male,56415,618,5228,16,0.26799602,104274,1,Low
19,Non-binary,110636,,40713,11,0.347517572,98573,,Medium
61,Male,,764,40883,11,0.171178689,83447,2,Low
52,Female,79618,603,8244,5,0.339157936,211923,1,Low
41,Female,85365,,,5,0.20968209,139493,2,Low
61,Male,57096,742,8875,13,0.255466936,,0,Low
21,Female,40836,625,45387,14,0.14444405,154808,,High
46,Non-binary,85363,700,,17,0.402300271,20125,1,Low
37,Non-binary,70511,,38049,17,0.474367346,24219,4,Low
27,Non-binary,93086,734,,17,0.55948416,267780,4,Medium
27,Female,48715,764,36019,16,0.195988389,76111,2,Low
61,Non-binary,33219,719,26958,9,0.480155951,121818,0,Medium
39,Non-binary,,,28066,7,0.249289132,136778,,Low
20,Non-binary,92949,658,24734,12,0.546164382,292573,3,Low
46,Female,34071,700,32707,5,0.314978864,53842,,Low
64,Non-binary,63152,649,36556,4,0.255095256,142627,2,Low
37,Non-binary,110627,,,9,0.367309958,51382,3,Low
30,Male,89694,,26450,2,0.540758399,47884,,Low
21,Female,,712,40784,11,0.295786288,56647,2,Medium
36,Non-binary,87602,661,14810,14,0.257396356,99278,3,Low
34,Non-binary,,779,10025,18,0.561134884,24549,0,Low
36,Male,21753,,23321,13,0.483118651,117231,3,Low
62,Male,61417,769,,14,0.327252488,46726,3,Medium
61,Male,66025,721,25986,10,0.158513284,128601,2,Low
64,Non-binary,23044,669,38298,6,0.280375213,150426,3,High
52,Male,74261,706,5090,9,0.358573005,,2,Low
59,Female,37349,626,30905,5,0.512805879,254331,4,Low
43,Male,97085,664,16427,19,0.146515793,186491,3,Low
47,Female,,612,30371,18,0.478797631,266094,2,Medium
28,Male,90499,742,,0,0.556789184,276877,,High
59,Non-binary,31752,711,28453,8,0.508633303,107891,,Low
46,Male,22395,668,29683,9,0.508702056,274795,4,Low
52,Male,34732,740,19632,14,0.308719263,259540,,Low
68,Female,75892,621,,18,0.254154528,,,Low
28,Female,36668,,,7,0.512572856,,3,Low
64,Non-binary,85573,667,14241,16,0.323489197,230858,0,Medium
39,Female,,653,8953,8,0.293564457,161006,,High
48,Male,114483,654,5163,7,0.274104415,,1,Low
33,Non-binary,118538,699,16065,1,0.558777533,34832,2,Medium
31,Male,,785,,0,0.466363823,,2,Low
28,Male,,686,43888,19,0.434111982,141276,4,Medium
44,Non-binary,113063,638,,9,0.274268498,78453,0,Low
57,Non-binary,78730,680,,14,0.502280379,,4,Low
52,Non-binary,109577,607,35235,8,0.557626126,72940,0,Medium
30,Female,30110,738,20526,8,0.249116264,256458,4,Low
54,Non-binary,84746,676,12954,17,0.282527061,,2,Medium
65,Non-binary,82104,701,16654,2,0.531852503,284799,4,Medium
64,Male,96355,764,31279,4,0.379050843,226010,1,Low
39,Non-binary,67969,,21988,19,0.53030149,,4,Low
39,Male,41649,708,39830,10,0.256220712,183171,0,High
44,Male,99397,704,,16,0.126576081,51766,3,Medium
50,Male,90640,704,16990,12,0.322836928,258480,4,Low
34,Male,80064,610,13916,15,0.515354111,54664,4,Medium
49,Non-binary,65471,681,5799,10,0.10189504,,,Medium
44,Female,74112,677,,5,0.290366238,,1,Low
30,Male,24158,622,10109,18,0.335642391,97747,,Low
55,Non-binary,36491,793,24032,0,0.323855782,205327,,Medium
66,Female,22068,706,22445,2,0.325556143,256530,,Medium
65,Non-binary,54515,730,45396,18,0.363593512,195559,2,High
69,Female,58487,720,44491,10,0.308022925,209169,4,Low
49,Female,111801,618,46024,4,0.374715798,,2,Low
29,Non-binary,44886,683,11203,9,0.575668198,,0,Low
40,Male,94279,686,35574,7,0.183219181,288771,3,High
40,Non-binary,99637,692,37797,12,0.480605343,,0,Low
31,Male,83924,725,21734,0,0.394161085,,,Low
39,Female,117217,659,7799,17,0.306761207,86523,0,Low
64,Non-binary,49473,667,22025,14,0.484992058,265611,0,Low
27,Female,117555,659,27489,0,0.553599355,186467,4,Low
34,Female,59883,676,27434,10,0.121022081,,4,Medium
53,Female,31654,645,38221,15,0.513850649,96027,0,Medium
50,Non-binary,24600,717,,8,0.189258148,80011,1,Low
33,Female,55911,,,14,0.341769526,155382,3,High
22,Female,40511,682,42844,1,0.142870979,184322,0,Low
34,Non-binary,99845,796,37891,10,0.284861945,273085,0,Low
29,Non-binary,66971,709,25326,0,0.387673361,151112,4,Low
26,Female,105694,685,18794,0,0.320223843,23653,3,Medium
51,Male,84509,672,15489,11,0.320473505,,4,Low
30,Male,,,44034,13,0.467756654,92906,2,Low
43,Non-binary,110855,647,47202,9,0.523462629,259672,2,Low
63,Female,79220,688,33483,7,0.307981163,225436,3,Low
65,Non-binary,82771,,18960,10,0.275908266,140249,,Low
19,Non-binary,47044,,34340,2,0.107457686,126231,3,Low
24,Non-binary,41663,655,,14,0.33042357,193760,3,High
48,Non-binary,40514,,40482,5,0.305157877,114749,,Low
51,Female,,787,38780,16,0.261499211,241915,4,Low
29,Female,37184,707,13052,4,0.502951691,,2,Low
40,Non-binary,36462,795,11803,6,0.30478579,275977,2,Low
47,Male,29442,790,47083,14,0.247050343,85377,3,Low
54,Non-binary,116666,667,14997,6,0.3880866,135539,4,Low
35,Non-binary,,,35530,15,0.381307921,21087,0,Low
20,Female,29635,715,23199,12,0.189328843,291653,2,Medium
31,Male,,623,,8,0.538921692,88833,1,Low
53,Female,48432,724,25236,19,0.356013768,137318,2,Low
42,Female,20207,753,25012,17,0.264364028,171961,3,Medium
18,Male,54189,798,33736,1,0.590557615,181724,,Low
51,Female,68217,,25105,15,0.595740609,29078,2,Low
54,Male,56366,767,10059,1,0.503785783,278832,2,Low
20,Male,65406,681,24184,4,0.135332377,285040,3,Low
52,Female,49346,678,10010,8,0.550802135,179292,,Low
66,Female,30015,,36430,4,0.15333306,170775,,Low
65,Female,49767,673,30804,13,0.47077141,82431,4,Low
59,Non-binary,,794,22614,4,0.570419574,132550,,Low
28,Non-binary,,746,37557,18,0.165847203,41951,1,Medium
37,Male,51058,793,27730,1,0.58625278,144059,0,Low
57,Female,107643,,16631,17,0.454761069,,2,Low
58,Male,34620,610,32400,3,0.471067832,94326,3,Low
37,Male,87804,671,,7,0.55677447,28202,4,Low
39,Male,75313,672,18578,2,0.259367022,170754,4,Low
40,Male,39465,678,34998,18,0.357808141,222171,2,Low
51,Male,,784,11958,1,0.433766626,259617,3,Low
21,Female,,612,33979,5,0.520990899,180092,1,Medium
40,Non-binary,54396,609,11157,4,0.10415159,,,High
66,Female,39861,601,48146,6,0.44150805,162537,1,Low
60,Non-binary,41310,611,41398,12,0.192354596,,2,High
31,Female,24090,698,37699,6,0.128521841,,,Low
54,Female,38383,641,14294,5,0.365835129,115735,,Low
34,Non-binary,115930,676,26833,4,0.464295774,211588,1,Low
58,Male,42343,736,,12,0.141107178,70844,1,Low
41,Female,32901,667,35617,19,0.134166441,265703,,Low
29,Male,26771,730,8160,11,0.122112925,292613,4,High
20,Non-binary,42740,754,5991,17,0.487583262,257827,0,Low
57,Female,79204,776,44157,0,0.11318302,80333,1,Low
55,Female,82968,679,14046,13,0.292562428,270764,0,Low
49,Non-binary,,732,47478,15,0.505570221,155835,4,Low
67,Female,74327,715,37472,1,0.58309606,,0,Low
32,Female,50540,635,25354,9,0.206757772,,2,Low
67,Female,92105,762,21479,6,0.213880154,240264,2,Low
54,Non-binary,,653,12385,16,0.586646891,173277,1,Medium
48,Male,76997,740,30977,3,0.330826498,120880,3,Low
21,Female,30040,725,41888,1,0.387121821,143314,3,Medium
28,Female,,613,13851,12,0.124774296,266907,1,High
35,Male,82398,682,,0,0.549378549,28797,4,Low
32,Male,61400,736,24433,14,0.558916739,,0,Low
65,Non-binary,21080,761,8547,9,0.144736014,284256,2,Low
59,Female,,736,22671,4,0.272555089,,4,Medium
38,Female,36760,603,42083,15,0.448841745,156342,3,Medium
51,Male,105549,748,18199,8,0.225455934,205428,0,Medium
42,Female,46570,733,33270,14,0.50645938,,1,Low
49,Female,117464,695,,16,0.4680445,77194,4,Medium
29,Male,46272,661,12650,18,0.358077921,293068,1,High
59,Male,103449,705,26468,1,0.521549246,159738,,Low
26,Male,43289,754,14743,0,0.202647715,,0,Low
22,Male,42343,771,12928,6,0.514534461,89912,,Low
30,Non-binary,37187,717,34501,8,0.569168824,286851,0,Medium
59,Male,,758,,16,0.498074019,275795,,Medium
48,Female,116742,670,15456,5,0.406142789,78874,1,Medium
47,Female,111707,,36237,17,0.556698131,,0,Low
29,Non-binary,91123,711,28082,5,0.464979384,116211,4,Medium
33,Male,31683,787,36277,3,0.332840084,35733,,Medium
18,Non-binary,75178,605,16918,15,0.557208673,186487,,Medium
50,Non-binary,,691,44204,9,0.398198739,87968,3,Medium
59,Female,41106,757,44531,18,0.482267661,255402,0,Low
63,Male,,686,32899,19,0.473905874,37026,,Low
59,Non-binary,80481,721,31165,10,0.434382352,281346,0,Low
18,Female,,630,44442,1,0.129779281,221170,2,Low
49,Male,103133,705,,11,0.341255952,163767,2,Low
25,Female,21532,603,23027,19,0.104102456,,,Low
40,Non-binary,40551,784,42257,9,0.27867457,199119,4,Low
41,Female,28250,764,,2,0.236440115,222335,0,High
43,Non-binary,,690,42368,6,0.173326169,229883,3,Low
24,Female,89206,610,30320,8,0.454012274,171313,0,Medium
49,Female,116815,794,35439,12,0.29333356,47063,4,Low
68,Female,38059,694,27216,17,0.446818218,297286,,High
31,Female,103748,733,32533,11,0.299937518,75767,1,Medium
49,Non-binary,87583,,15292,19,0.219566323,63988,1,Medium
51,Female,26846,643,18513,19,0.175375348,,,Low
29,Male,59925,729,36667,10,0.283427284,195212,2,Low
56,Non-binary,92190,,43413,3,0.479741417,,,Low
28,Non-binary,83996,615,28543,6,0.324473327,240596,4,Medium
64,Female,117148,758,,8,0.472799751,,3,High
64,Female,,627,21843,18,0.13614281,131969,0,Low
30,Female,103537,,38416,5,0.38371407,208049,0,Low
63,Male,24094,765,25450,4,0.229737776,281069,0,Medium
64,Non-binary,38643,694,34278,8,0.343749212,161189,3,High
51,Non-binary,106708,739,20411,17,0.441208916,143215,4,High
42,Female,103247,708,21059,3,0.371048638,199480,4,Low
20,Non-binary,,637,5290,4,0.454338672,85785,3,Low
35,Male,63751,,36242,12,0.298599118,233836,1,Low
48,Male,36484,615,16213,2,0.196049392,20203,2,Low
42,Female,119007,601,38500,18,0.320740701,71820,0,Low
31,Male,103391,673,,8,0.319612411,128615,,High
65,Male,68807,771,,2,0.247142006,195572,1,Low
26,Female,,676,,16,0.179970825,219337,2,High
25,Male,26473,651,18307,16,0.177479426,48972,4,Low
35,Male,21505,,39822,15,0.255157103,31557,1,Low
67,Non-binary,67055,689,30115,15,0.315124438,,4,Medium
66,Non-binary,70551,743,30104,2,0.383602267,172089,3,Low
65,Non-binary,51481,686,45890,19,0.373236046,157694,0,Low
28,Non-binary,90916,,42807,10,0.227439636,217546,4,Low
23,Non-binary,76441,798,26307,11,0.101370246,290855,,Low
69,Non-binary,32473,734,14926,13,0.314626306,,3,Medium
22,Non-binary,88165,738,44765,3,0.42513185,94271,2,Low
50,Non-binary,54889,614,12851,0,0.179743807,20292,,Low
69,Non-binary,31344,628,16623,17,0.312290874,80124,0,Medium
61,Male,90162,631,,10,0.547964273,70984,3,Low
51,Female,90766,651,25240,11,0.456301835,163457,2,Low
64,Non-binary,51094,758,7215,16,0.422152036,190645,3,Low
33,Non-binary,83554,743,48664,16,0.25459302,96989,0,Low
24,Female,,615,46589,1,0.172295102,239612,4,Low
53,Male,62876,690,39134,9,0.546692454,55565,4,Medium
46,Male,,610,35298,12,0.253605058,21868,2,Medium
58,Female,59113,716,17384,15,0.366905364,140585,1,Low
32,Male,82495,779,45378,13,0.416387957,,,Low
65,Non-binary,24054,731,15988,15,0.181721258,114409,3,Medium
63,Non-binary,107017,770,42405,9,0.545623269,128462,3,High
33,Male,72634,,,14,0.431798283,256729,4,High
40,Male,53808,634,42080,6,0.119607837,126718,0,High
21,Non-binary,110725,,,1,0.191815917,138799,2,Low
53,Male,60028,617,29755,14,0.53528246,,2,Low
61,Male,81271,659,32241,5,0.127871981,118172,4,Low
44,Male,42805,678,8866,11,0.130468616,,2,Low
61,Non-binary,24866,,25705,3,0.568711712,81198,4,High
61,Female,31218,718,15915,13,0.308266325,,,High
20,Female,82906,626,16722,17,0.53197461,159448,0,Low
61,Male,26732,668,31107,16,0.181974427,64741,0,High
30,Female,30244,704,33654,0,0.40279656,118539,,Medium
67,Male,95276,,26314,10,0.487823813,,0,Low
24,Female,109043,721,41973,17,0.243964785,154466,4,Low
23,Female,30707,704,34617,19,0.143277013,175278,,Low
29,Female,112035,,28116,13,0.263364583,,3,Low
68,Male,73389,669,43202,14,0.303813186,204985,2,Low
19,Non-binary,40471,,37840,11,0.477272844,274055,,Low
21,Non-binary,100337,687,36805,4,0.321607811,274938,2,Low
67,Non-binary,,,32005,9,0.36079575,99899,4,Low
38,Non-binary,50268,759,16460,13,0.518867213,278633,4,Low
41,Female,69056,778,,4,0.138333224,41791,4,Low
49,Non-binary,58469,638,48988,17,0.51631787,,3,Low
21,Male,32661,645,,15,0.271358451,73387,3,Low
40,Female,118724,672,26768,11,0.268598875,89352,0,Low
48,Female,119732,778,,19,0.548073576,54699,,Medium
51,Non-binary,69577,608,7814,15,0.370436899,,3,High
64,Female,109344,,8249,9,0.430906489,191209,,Medium
32,Female,51795,797,29238,19,0.122121229,212520,3,Low
33,Female,,718,21325,7,0.443643469,134343,0,Low
46,Male,87635,735,45571,12,0.253665415,84663,0,High
49,Non-binary,37637,690,25005,3,0.580975998,55875,0,Low
66,Non-binary,,605,47073,1,0.385160213,59106,4,Low
56,Male,42597,644,35406,11,0.146439684,188660,3,Medium
69,Non-binary,36040,737,11112,4,0.301944641,79983,3,Low
30,Non-binary,113321,666,21127,6,0.555160882,,2,Low
21,Female,96729,649,28026,9,0.275403211,70784,0,Low
33,Male,51147,724,24812,11,0.310227432,222225,3,Low
65,Non-binary,113077,661,14167,8,0.37524369,178806,,Medium
22,Male,100746,776,45106,8,0.59681827,110919,2,Low
39,Female,93634,642,8039,3,0.490968964,24931,2,Low
57,Female,89998,765,21077,7,0.261779066,263635,4,Low
66,Female,96990,762,16970,10,0.238446054,165982,3,Medium
49,Male,115024,692,7760,12,0.536829516,207226,4,Low
50,Female,45433,,34574,2,0.499507704,189811,1,Low
37,Non-binary,57867,,39129,0,0.146001093,288865,2,Medium
33,Female,74587,,15136,18,0.138822861,84444,4,Low
51,Non-binary,74039,670,48828,1,0.268554977,,,Medium
61,Male,107110,704,37337,6,0.30218484,,0,Low
29,Non-binary,41086,632,8447,11,0.148376419,45835,3,High
68,Male,92035,728,34079,1,0.501898948,49615,3,Low
43,Non-binary,116889,611,20317,10,0.31710313,91033,0,Low
62,Female,,743,14715,7,0.203807578,181498,4,Medium
28,Non-binary,,652,48872,3,0.479456536,257373,0,Low
69,Female,,659,18014,2,0.246225026,289425,4,Low
31,Female,69079,,17380,0,0.293016076,190743,4,Low
20,Male,115659,626,,3,0.368107012,86676,,Medium
67,Non-binary,107834,707,47191,12,0.552696031,275820,4,Low
60,Female,109432,785,31848,17,0.460964373,,,Low
18,Non-binary,28301,748,,7,0.522724266,86394,4,Low
61,Female,116920,698,34671,8,0.47420758,193391,1,Low
67,Male,93098,640,14192,9,0.543843539,162013,2,Low
55,Non-binary,74592,698,24633,12,0.272695582,89876,4,Low
49,Male,92986,,25866,10,0.164251991,22638,,Medium
19,Male,90494,701,44737,17,0.439143237,247167,2,Medium
54,Non-binary,36775,,17198,7,0.171884212,23687,,Low
62,Male,111512,794,26061,13,0.170639692,90373,4,Low
40,Female,30866,734,21753,18,0.353204788,178641,,Low
69,Female,41705,751,,8,0.391784537,123648,3,Low
32,Male,82402,625,42888,17,0.103750275,,2,Low
54,Non-binary,45583,679,36374,17,0.313967981,41576,2,Medium
43,Non-binary,111860,623,16743,19,0.16866113,115657,1,Low
28,Non-binary,,644,10121,4,0.323644218,217493,1,Low
21,Female,65330,619,48155,19,0.459299845,113279,3,Low
41,Female,63924,727,14588,0,0.389207887,253162,2,Medium
46,Female,107561,,19078,12,0.392966114,,0,Low
31,Female,53103,,16120,18,0.26194653,74732,3,Medium
27,Male,102124,780,,7,0.25692745,147386,,Low
